Time (s),ESC signal (µs),Thrust (gf)
15.44203,567.5193,398.8537196
15.457335,568.3722,398.8537196
15.47314,569.2941,398.8537196
15.49082,570.2406,398.8537196
15.50934,571.3743,398.8537196
15.52517,572.4207,404.0470943
15.54038,573.3609,404.0470943
15.55743,574.2792,404.0470943
15.57333,575.3517,404.0470943
15.589995,576.2547,404.0470943
15.60706,577.2537,404.0470943
15.623305,578.2785,404.0470943
15.64074,579.2547,404.0470943
15.65836,580.3623,404.0470943
15.6743,581.3634,408.9230315
15.68932,582.3093,408.9230315
15.70614,583.2117,408.9230315
15.721355,584.2785,408.9230315
15.73727,585.1344,408.9230315
15.75295,586.0887,408.9230315
15.76842,587.1486,408.9230315
15.784355,587.9565,408.9230315
15.801765,588.9129,408.9230315
15.81813,590.0244,413.4595884
15.833185,590.9385,413.4595884
15.848245,591.8424,413.4595884
15.86419,592.7457,413.4595884
15.880275,593.703,413.4595884
15.89635,594.7146,413.4595884
15.912425,595.6371,413.4595884
15.928115,596.5977,413.4595884
15.94436,597.6531,413.4595884
15.962005,598.5123,413.4595884
15.978505,599.5758,416.5883757
15.99505,600,416.5883757
16.011515,600,416.5883757
16.029405,600,416.5883757
16.04435,600,416.5883757
16.061095,600,416.5883757
16.08065,600,416.5883757
16.096515,600,416.5883757
16.11408,600,421.121893
16.13019,600,421.121893
16.145605,600,421.121893
16.161425,600,421.121893
16.180025,600,421.121893
16.197245,600,421.121893
16.21393,600,421.121893
16.231855,600,421.121893
16.2476,600,421.121893
16.264955,600,423.7231374
16.281695,600,423.7231374
16.29765,600,423.7231374
16.31354,600,423.7231374
16.331275,600,423.7231374
16.347495,600,423.7231374
16.363655,600,423.7231374
16.38188,600,423.7231374
16.39759,600,423.7231374
16.412515,600,425.1862491
16.431085,600,425.1862491
16.44665,600,425.1862491
16.462415,600,425.1862491
16.479975,600,425.1862491
16.49749,600,425.1862491
16.51356,600,425.1862491
16.53209,600,425.1862491
16.547695,600,425.1862491
16.56368,600,426.6811921
16.58411,600,426.6811921
16.599875,600,426.6811921
16.615465,600,426.6811921
16.632775,600,426.6811921
16.64856,600,426.6811921
16.6637,600,426.6811921
16.681755,600,426.6811921
16.697785,600,426.6811921
16.714735,600,428.3384632
16.731625,600,428.3384632
16.74922,600,428.3384632
16.764555,600,428.3384632
16.781995,600,428.3384632
16.7988,600,428.3384632
16.81462,600,428.3384632
16.831925,600,428.3384632
16.847655,600,428.3384632
16.862545,600,429.5918325
16.879775,600,429.5918325
16.89581,600,429.5918325
16.91331,600,429.5918325
16.92954,600,429.5918325
16.946015,600,429.5918325
16.961695,600,429.5918325
16.980115,600,429.5918325
16.99669,600,429.5918325
17.01287,600,430.2464876
17.03011,600,430.2464876
17.04588,600,430.2464876
17.06398,600,430.2464876
17.08116,600,430.2464876
17.096945,600,430.2464876
17.1128,600,430.2464876
17.13105,600,430.2464876
17.1469,600,430.2464876
17.162765,600,430.7270737
17.18266,600,430.7270737
17.1978,600,430.7270737
17.215335,600,430.7270737
17.231475,600,430.7270737
17.24789,600,430.7270737
17.2637,600,430.7270737
17.28183,600,430.7270737
17.29811,600,430.7270737
17.31385,600,431.3467803
17.333175,600,431.3467803
17.349945,600,431.3467803
17.36738,600,431.3467803
17.382725,600,431.3467803
17.39877,600,431.3467803
17.414895,600,431.3467803
17.43255,600,431.3467803
17.44791,600,431.3467803
17.463005,600,431.6290107
17.480385,600,431.6290107
17.496795,600,431.6290107
17.51183,600,431.6290107
